banco,eixo,query,grupo,execucao,warmup,latencia_ms,linhas,mem_kb,db_hits,page_cache_hits,page_cache_misses
neo4j,ed_basica,9,filtro,8,False,96,11,1.8,1079669,295722,0
neo4j,ed_basica,9,filtro,9,False,103,11,1.8,1079669,295722,0
neo4j,ed_basica,9,filtro,10,False,94,11,1.8,1079669,295722,0
neo4j,ed_basica,9,filtro,11,False,167,11,1.8,1079669,295718,0
neo4j,ed_basica,9,filtro,12,False,118,11,1.8,1079669,295718,0
neo4j,ed_basica,9,filtro,13,False,100,11,1.8,1079669,295718,0
neo4j,ed_basica,9,filtro,14,False,110,11,1.8,1079669,295718,0
neo4j,ed_basica,9,filtro,15,False,98,11,1.8,1079669,295718,0
neo4j,ed_basica,9,filtro,16,False,102,11,1.8,1079669,295718,0
neo4j,ed_basica,9,filtro,17,False,94,11,1.8,1079669,295718,0
neo4j,ed_basica,9,filtro,18,False,91,11,1.8,1079669,295718,0
neo4j,ed_basica,9,filtro,19,False,84,11,1.8,1079669,295718,0
neo4j,ed_basica,9,filtro,20,False,83,11,1.8,1079669,295718,0
neo4j,ed_basica,9,filtro,21,False,82,11,1.8,1079669,295718,0
neo4j,ed_basica,10,multi_hop,1,True,362,6585,2088.4,1375100,316850,216
neo4j,ed_basica,10,multi_hop,2,False,197,6585,2088.4,1375100,317081,0
neo4j,ed_basica,10,multi_hop,3,False,201,6585,2088.4,1375100,317081,0
neo4j,ed_basica,10,multi_hop,4,False,170,6585,2088.4,1375100,317081,0
neo4j,ed_basica,10,multi_hop,5,False,170,6585,2088.4,1375100,317081,0
neo4j,ed_basica,10,multi_hop,6,False,145,6585,2088.4,1375100,317081,0
neo4j,ed_basica,10,multi_hop,7,False,137,6585,2088.4,1375100,317081,0
neo4j,ed_basica,10,multi_hop,8,False,141,6585,2088.4,1375100,317081,0
neo4j,ed_basica,10,multi_hop,9,False,134,6585,2088.4,1375100,317081,0
neo4j,ed_basica,10,multi_hop,10,False,134,6585,2088.4,1375100,317081,0
neo4j,ed_basica,10,multi_hop,11,False,231,6585,2088.4,1375100,317081,0
neo4j,ed_basica,10,multi_hop,12,False,199,6585,2088.4,1375100,317081,0
neo4j,ed_basica,10,multi_hop,13,False,152,6585,2088.4,1375100,317081,0
neo4j,ed_basica,10,multi_hop,14,False,138,6585,2088.4,1375100,317081,0
neo4j,ed_basica,10,multi_hop,15,False,133,6585,2088.4,1375100,317081,0
neo4j,ed_basica,10,multi_hop,16,False,129,6585,2088.4,1375100,317081,0
neo4j,ed_basica,10,multi_hop,17,False,140,6585,2088.4,1375100,317081,0
neo4j,ed_basica,10,multi_hop,18,False,134,6585,2088.4,1375100,317081,0
neo4j,ed_basica,10,multi_hop,19,False,133,6585,2088.4,1375100,317081,0
neo4j,ed_basica,10,multi_hop,20,False,133,6585,2088.4,1375100,317081,0
neo4j,ed_basica,10,multi_hop,21,False,130,6585,2088.4,1375100,317081,0
neo4j,ed_basica,11,filtro,1,True,289,562,75.3,745364,170080,2027
neo4j,ed_basica,11,filtro,2,False,132,562,75.3,745364,172107,0
neo4j,ed_basica,11,filtro,3,False,140,562,75.3,745364,172107,0
neo4j,ed_basica,11,filtro,4,False,129,562,75.3,745364,172107,0
neo4j,ed_basica,11,filtro,5,False,130,562,75.3,745364,172107,0
neo4j,ed_basica,11,filtro,6,False,111,562,75.3,745364,172107,0
neo4j,ed_basica,11,filtro,7,False,110,562,75.3,745364,172107,0
neo4j,ed_basica,11,filtro,8,False,109,562,75.3,745364,172107,0
neo4j,ed_basica,11,filtro,9,False,109,562,75.3,745364,172107,0
neo4j,ed_basica,11,filtro,10,False,100,562,75.3,745364,172107,0
neo4j,ed_basica,11,filtro,11,False,174,562,75.3,745364,172107,0
neo4j,ed_basica,11,filtro,12,False,121,562,75.3,745364,172107,0
neo4j,ed_basica,11,filtro,13,False,119,562,75.3,745364,172107,0
neo4j,ed_basica,11,filtro,14,False,123,562,75.3,745364,172107,0
neo4j,ed_basica,11,filtro,15,False,113,562,75.3,745364,172107,0
neo4j,ed_basica,11,filtro,16,False,129,562,75.3,745364,172107,0
neo4j,ed_basica,11,filtro,17,False,108,562,75.3,745364,172107,0
neo4j,ed_basica,11,filtro,18,False,109,562,75.3,745364,172107,0
neo4j,ed_basica,11,filtro,19,False,107,562,75.3,745364,172107,0
neo4j,ed_basica,11,filtro,20,False,106,562,75.3,745364,172107,0
neo4j,ed_basica,11,filtro,21,False,106,562,75.3,745364,172107,0
neo4j,ed_basica,12,agregacao,1,True,553,1042,507.9,3762828,1114690,13307
neo4j,ed_basica,12,agregacao,2,False,310,1042,507.9,3762828,1116854,11143
neo4j,ed_basica,12,agregacao,3,False,225,1042,507.9,3762828,1125968,2029
neo4j,ed_basica,12,agregacao,4,False,219,1042,507.9,3762828,1127997,0
neo4j,ed_basica,12,agregacao,5,False,204,1042,507.9,3762828,1127997,0
neo4j,ed_basica,12,agregacao,6,False,200,1042,507.9,3762828,1127997,0
neo4j,ed_basica,12,agregacao,7,False,196,1042,507.9,3762828,1127997,0
neo4j,ed_basica,12,agregacao,8,False,198,1042,507.9,3762828,1127997,0
neo4j,ed_basica,12,agregacao,9,False,197,1042,507.9,3762828,1127997,0
neo4j,ed_basica,12,agregacao,10,False,193,1042,507.9,3762828,1127997,0
neo4j,ed_basica,12,agregacao,11,False,356,1042,507.9,3762828,1127997,0
neo4j,ed_basica,12,agregacao,12,False,283,1042,507.9,3762828,1127997,0
neo4j,ed_basica,12,agregacao,13,False,216,1042,507.9,3762828,1127997,0
neo4j,ed_basica,12,agregacao,14,False,207,1042,507.9,3762828,1127997,0
neo4j,ed_basica,12,agregacao,15,False,198,1042,507.9,3762828,1127997,0
neo4j,ed_basica,12,agregacao,16,False,198,1042,507.9,3762828,1127997,0
neo4j,ed_basica,12,agregacao,17,False,191,1042,507.9,3762828,1127997,0
neo4j,ed_basica,12,agregacao,18,False,195,1042,507.9,3762828,1127997,0
neo4j,ed_basica,12,agregacao,19,False,198,1042,507.9,3762828,1127997,0
neo4j,ed_basica,12,agregacao,20,False,195,1042,507.9,3762828,1127997,0
neo4j,ed_basica,12,agregacao,21,False,196,1042,507.9,3762828,1127997,0
neo4j,ed_basica,13,filtro,1,True,260,1628,172.5,703271,168714,572
neo4j,ed_basica,13,filtro,2,False,126,1628,172.5,703271,169286,0
neo4j,ed_basica,13,filtro,3,False,119,1628,172.5,703271,169286,0
neo4j,ed_basica,13,filtro,4,False,120,1628,172.5,703271,169286,0
neo4j,ed_basica,13,filtro,5,False,109,1628,172.5,703271,169286,0
neo4j,ed_basica,13,filtro,6,False,100,1628,172.5,703271,169286,0
neo4j,ed_basica,13,filtro,7,False,96,1628,172.5,703271,169286,0
neo4j,ed_basica,13,filtro,8,False,93,1628,172.5,703271,169286,0
neo4j,ed_basica,13,filtro,9,False,91,1628,172.5,703271,169286,0
neo4j,ed_basica,13,filtro,10,False,98,1628,172.5,703271,169286,0
neo4j,ed_basica,13,filtro,11,False,145,1628,172.5,703271,169286,0
neo4j,ed_basica,13,filtro,12,False,119,1628,172.5,703271,169286,0
neo4j,ed_basica,13,filtro,13,False,118,1628,172.5,703271,169286,0
neo4j,ed_basica,13,filtro,14,False,113,1628,172.5,703271,169286,0
neo4j,ed_basica,13,filtro,15,False,182,1628,172.5,703271,169286,0
neo4j,ed_basica,13,filtro,16,False,116,1628,172.5,703271,169286,0
neo4j,ed_basica,13,filtro,17,False,105,1628,172.5,703271,169286,0
neo4j,ed_basica,13,filtro,18,False,98,1628,172.5,703271,169286,0
neo4j,ed_basica,13,filtro,19,False,92,1628,172.5,703271,169286,0
neo4j,ed_basica,13,filtro,20,False,93,1628,172.5,703271,169286,0
neo4j,ed_basica,13,filtro,21,False,117,1628,172.5,703271,169286,0
neo4j,ed_basica,14,agregacao,1,True,478,9525,1446.5,3859205,1159823,676
neo4j,ed_basica,14,agregacao,2,False,280,9525,1446.5,3859205,1160398,101
neo4j,ed_basica,14,agregacao,3,False,224,9525,1446.5,3859205,1160499,0
neo4j,ed_basica,14,agregacao,4,False,219,9525,1446.5,3859205,1160499,0
neo4j,ed_basica,14,agregacao,5,False,221,9525,1446.5,3859205,1160499,0
neo4j,ed_basica,14,agregacao,6,False,220,9525,1446.5,3859205,1160499,0
neo4j,ed_basica,14,agregacao,7,False,219,9525,1446.5,3859205,1160499,0
neo4j,ed_basica,14,agregacao,8,False,206,9525,1446.5,3859205,1160499,0
neo4j,ed_basica,14,agregacao,9,False,210,9525,1446.5,3859205,1160499,0
neo4j,ed_basica,14,agregacao,10,False,215,9525,1446.5,3859205,1160499,0
neo4j,ed_basica,14,agregacao,11,False,360,9525,1446.5,3859205,1160499,0
neo4j,ed_basica,14,agregacao,12,False,315,9525,1446.5,3859205,1160499,0
neo4j,ed_basica,14,agregacao,13,False,249,9525,1446.5,3859205,1160499,0
neo4j,ed_basica,14,agregacao,14,False,235,9525,1446.5,3859205,1160499,0
neo4j,ed_basica,14,agregacao,15,False,223,9525,1446.5,3859205,1160499,0
neo4j,ed_basica,14,agregacao,16,False,219,9525,1446.5,3859205,1160499,0
neo4j,ed_basica,14,agregacao,17,False,226,9525,1446.5,3859205,1160499,0
neo4j,ed_basica,14,agregacao,18,False,223,9525,1446.5,3859205,1160499,0
neo4j,ed_basica,14,agregacao,19,False,224,9525,1446.5,3859205,1160499,0
neo4j,ed_basica,14,agregacao,20,False,224,9525,1446.5,3859205,1160499,0
neo4j,ed_basica,14,agregacao,21,False,221,9525,1446.5,3859205,1160499,0
neo4j,ed_basica,15,multi_hop,1,True,747,3146,9274.1,4250218,1452764,15516
neo4j,ed_basica,15,multi_hop,2,False,453,3146,9274.1,4250218,1468280,0
neo4j,ed_basica,15,multi_hop,3,False,386,3146,9274.1,4250218,1468280,0
neo4j,ed_basica,15,multi_hop,4,False,338,3146,9274.1,4250218,1468280,0
neo4j,ed_basica,15,multi_hop,5,False,308,3146,9274.1,4250218,1468280,0
neo4j,ed_basica,15,multi_hop,6,False,307,3146,9274.1,4250218,1468280,0
neo4j,ed_basica,15,multi_hop,7,False,293,3146,9274.1,4250218,1468280,0
neo4j,ed_basica,15,multi_hop,8,False,302,3146,9274.1,4250218,1468280,0
neo4j,ed_basica,15,multi_hop,9,False,302,3146,9274.1,4250218,1468280,0
neo4j,ed_basica,15,multi_hop,10,False,302,3146,9274.1,4250218,1468280,0
neo4j,ed_basica,15,multi_hop,11,False,582,3146,9274.1,4250218,1468280,0
neo4j,ed_basica,15,multi_hop,12,False,425,3146,9274.1,4250218,1468280,0
neo4j,ed_basica,15,multi_hop,13,False,314,3146,9274.1,4250218,1468280,0
neo4j,ed_basica,15,multi_hop,14,False,315,3146,9274.1,4250218,1468280,0
neo4j,ed_basica,15,multi_hop,15,False,342,3146,9274.1,4250218,1468280,0
neo4j,ed_basica,15,multi_hop,16,False,300,3146,9274.1,4250218,1468280,0
neo4j,ed_basica,15,multi_hop,17,False,301,3146,9274.1,4250218,1468280,0
neo4j,ed_basica,15,multi_hop,18,False,292,3146,9274.1,4250218,1468280,0
neo4j,ed_basica,15,multi_hop,19,False,338,3146,9274.1,4250218,1468280,0
neo4j,ed_basica,15,multi_hop,20,False,296,3146,9274.1,4250218,1468280,0
neo4j,ed_basica,15,multi_hop,21,False,303,3146,9274.1,4250218,1468280,0
neo4j,ed_basica,16,agregacao,1,True,489,1042,641.8,3835195,1174991,0
neo4j,ed_basica,16,agregacao,2,False,371,1042,641.8,3835195,1174991,0
neo4j,ed_basica,16,agregacao,3,False,263,1042,641.8,3835195,1174991,0
neo4j,ed_basica,16,agregacao,4,False,245,1042,641.8,3835195,1174991,0
neo4j,ed_basica,16,agregacao,5,False,280,1042,641.8,3835195,1174991,0
neo4j,ed_basica,16,agregacao,6,False,237,1042,641.8,3835195,1174991,0
neo4j,ed_basica,16,agregacao,7,False,234,1042,641.8,3835195,1174991,0
neo4j,ed_basica,16,agregacao,8,False,254,1042,641.8,3835195,1174991,0
neo4j,ed_basica,16,agregacao,9,False,232,1042,641.8,3835195,1174991,0
neo4j,ed_basica,16,agregacao,10,False,229,1042,641.8,3835195,1174991,0
neo4j,ed_basica,16,agregacao,11,False,393,1042,641.8,3835195,1174991,0
neo4j,ed_basica,16,agregacao,12,False,324,1042,641.8,3835195,1174991,0
neo4j,ed_basica,16,agregacao,13,False,346,1042,641.8,3835195,1174991,0
neo4j,ed_basica,16,agregacao,14,False,257,1042,641.8,3835195,1174991,0
neo4j,ed_basica,16,agregacao,15,False,238,1042,641.8,3835195,1174991,0
neo4j,ed_basica,16,agregacao,16,False,231,1042,641.8,3835195,1174991,0
neo4j,ed_basica,16,agregacao,17,False,229,1042,641.8,3835195,1174991,0
neo4j,ed_basica,16,agregacao,18,False,229,1042,641.8,3835195,1174991,0
neo4j,ed_basica,16,agregacao,19,False,261,1042,641.8,3835195,1174991,0
neo4j,ed_basica,16,agregacao,20,False,232,1042,641.8,3835195,1174991,0
